example_id                                                     | status | run_time        |
./spec/controllers/book/manual_controller_spec.rb[1:3:1:3]     | failed | 0.00563 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:3:2:1]     | failed | 0.00565 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:3:3:1]     | failed | 0.00463 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:4:1:1]     | failed | 0.00476 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:4:1:2]     | failed | 0.00403 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:4:1:3]     | failed | 0.00408 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:4:2:1]     | failed | 0.0042 seconds  |
./spec/controllers/book/manual_controller_spec.rb[1:4:3:1]     | failed | 0.00402 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:5:1]       | failed | 0.00488 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:5:2]       | failed | 0.00465 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:5:3]       | failed | 0.0047 seconds  |
./spec/controllers/book/manual_controller_spec.rb[1:6:1:1]     | failed | 0.00524 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:6:1:2]     | failed | 0.00412 seconds |
./spec/controllers/book/manual_controller_spec.rb[1:7:1:1]     | failed | 0.00478 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:1]         | failed | 0.00405 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:2]         | failed | 0.00424 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:3]         | failed | 0.00414 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:4]         | failed | 0.00458 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:5:1:1]     | failed | 0.00417 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:5:2:1]     | failed | 0.00408 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:5:3:1]     | failed | 0.00517 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:6:1]       | failed | 0.00408 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:2:1]         | failed | 0.00407 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:2:2]         | failed | 0.00401 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:2:3]         | failed | 0.00394 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:3:1]         | failed | 0.00404 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:3:2]         | failed | 0.00446 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:4:1]         | failed | 0.00515 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:4:2]         | failed | 0.00537 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:5:1]         | failed | 0.00485 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:6:1]         | failed | 0.00526 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:7:1:1]       | failed | 0.00484 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:7:2:1]       | failed | 0.00529 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:8:1]         | failed | 0.00577 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:9:1]         | failed | 0.00479 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:10:1]        | failed | 0.00511 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:11:1]        | failed | 0.00577 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:12:1]        | failed | 0.00522 seconds |
./spec/controllers/patients_controller_spec.rb[1:1:1]          | failed | 0.00429 seconds |
./spec/controllers/patients_controller_spec.rb[1:1:2]          | failed | 0.00462 seconds |
./spec/controllers/patients_controller_spec.rb[1:1:3:1]        | failed | 0.00451 seconds |
./spec/controllers/patients_controller_spec.rb[1:1:4:1]        | failed | 0.00492 seconds |
./spec/controllers/patients_controller_spec.rb[1:2:1]          | failed | 0.00565 seconds |
./spec/controllers/patients_controller_spec.rb[1:2:2]          | failed | 0.00482 seconds |
./spec/controllers/patients_controller_spec.rb[1:2:3]          | failed | 0.00484 seconds |
./spec/controllers/patients_controller_spec.rb[1:3:1]          | failed | 0.00481 seconds |
./spec/controllers/patients_controller_spec.rb[1:3:2]          | failed | 0.00499 seconds |
./spec/controllers/patients_controller_spec.rb[1:4:1:1]        | failed | 0.00449 seconds |
./spec/controllers/patients_controller_spec.rb[1:4:1:2]        | failed | 0.00486 seconds |
./spec/controllers/patients_controller_spec.rb[1:4:1:3]        | failed | 0.00468 seconds |
./spec/controllers/patients_controller_spec.rb[1:4:2:1]        | failed | 0.00409 seconds |
./spec/controllers/patients_controller_spec.rb[1:4:2:2]        | failed | 0.00422 seconds |
